"id","text"
1,"A body wah cry a-house, an'a body wah cry a-doo', a same t'ing"
2,"A body wah dem no wan' fo' roas', no fo' si' down carnah fiah"
3,"Accouri know he teet' 'trang; da mek he eat banga"
4,"Accouri tek cayman teet' he mek sugah cake"
5,"A come fo' milk cow, no fo' reckon cattle"
6,"A cow wah cry fo' watah na he a-want am"
7,"A daag hab libaty fo' watch a-de gubnah"
8,"A daag mout' mek he can't climb tree"
9,"After night ma'nin' come"
10,"A gold mek Bacra a dead wid yalla febah t'day"
11,"A good frien' is bettah dan money in de pocket"
12,"A hard t'ing fo' pay fo' music when you no heah banja play"
13,"A hass, good heart mek man a-ride am as he like"
14,"A hint to Beniba mek Quashiba tek notice"
15,"A little is bettah dan not'in.'"
16,"All bi'd can sing, but a11 bi'd can't talk"
17,"All carrin crow a-nyam dead meat, but all dag na a-nyam am"
18,"All cassada got same 'kin, but all na tas'e same way"
19,"All cow a-cry, but na all cow a-butt"
20,"All daag can bark, but some frighten fo' bite"
21,"All fool can talk, but na all can heah"
22,"All high bed no saf.'"
23,"Alligittah an' cayman, a11 same t'ing"
24,"Alligittah no a-gie he picknie suck, but dem lib"
25,"Alligittah nyam crapaud fo'belly full, an' duck fo' sweet mout'"
26,"Alligittah see fowl, he say a fish"
27,"All kin' ob plesha mus' get wan 'taff-aff"
28,"All man can talk, but na all can do"
29,"All po'k favah matty, but na all a-season"
30,"All sweet na sweet, all bittah na bittah"
31,"A man no know he own want is a fool"
32,"Anlucky bi'd often get anlucky trap"
33,"Ants know hard time a-come, da mek he does carry plenty food fo' put a-he house"
34,"A place fish watah deh, a de blue fly lib"
35,"A place weh rat 'crape you a-see am fo' slice, weh he 'tan' up you no a-see am"
36,"A pound ob fretment no pay a gill of debtment"
37,"A same place pimplah chook you' foot, a same place you must take am out"
38,"A sense nancy bin got when monkey go fo' kill, he halla gun man a-come"
39,"Ashes col', daag lie down deh"
40,"As he 'kin 'tan', so 'tan' he heart"
41,"As long as school missy an' school massa deh, wha' you no know t'day you sa know to-morrow"
42,"A tigah bigness an' sense mek he lib a-bush to-day"
43,"A time sun a-down fowl no a-grabble fo' he chicken, ya grabble fo' hese'f"
44,"A watch a-you' doo' mout', an' me know how you' house inside 'tan'"
45,"Awe lib a-bush"
46,"Awe two coo-coo can't tu'n in de same pat"
47,"Baby born, he foot small"
48,"Back can wait, but no belly"
49,"Bacra bin see side-line dam befo' he walk a mi'l-walk dam"
50,"Bacra jus' like cow-down, he tap dry, he battam wet"
51,"Bacra no boy, niggah no fool"
52,"Bacra no talk, niggah no sabby"
